id,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14
46,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,A,D,D,D,E,C,A,P,K,A,A,A,G,H,G,F,D,BI,BT,A,AV,A,N,J,HK,0.484469,0.555782,0.777587,0.22961700000000002,0.405415,0.457821,0.774678,0.33371999999999996,0.41471,0.47778999999999994,0.760322,0.747533,0.30435,0.30591999999999997
50,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,C,B,A,A,A,G,H,D,B,E,E,G,E,R,J,A,A,B,H,E,G,I,F,BI,BC,A,AV,S,C,M,HX,0.6360779999999999,0.48878900000000003,0.280933,0.761209,0.6969810000000001,0.6274350000000001,0.45144700000000004,0.5245,0.64873,0.7913899999999999,0.47272600000000004,0.500382,0.689974,0.307258
54,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,A,B,D,B,A,A,A,G,H,D,D,C,E,C,D,T,I,A,A,B,G,F,G,J,E,BI,EB,A,AW,AO,A,N,HK,0.436958,0.620805,0.6738609999999999,0.336414,0.281143,0.644854,0.724803,0.34986999999999996,0.4832,0.67065,0.695685,0.682413,0.6426,0.838149
62,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,B,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,J,A,A,A,E,E,H,F,B,BI,CS,A,AS,AE,I,K,DJ,0.54667,0.681761,0.634224,0.373816,0.8670559999999999,0.364464,0.40116199999999996,0.26847,0.46226000000000006,0.50556,0.366788,0.359249,0.34524699999999997,0.725605
70,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,A,A,C,B,D,B,A,A,A,A,A,C,D,C,E,C,D,T,B,A,A,B,G,F,G,J,E,BI,CL,A,E,AN,C,N,HK,0.455585,0.827585,0.692825,0.22961700000000002,0.281143,0.636189,0.793953,0.37754,0.41471,0.58796,0.705501,0.6987220000000001,0.6114310000000001,0.822254
71,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,D,B,D,B,D,A,D,C,B,C,B,A,A,A,A,A,C,D,E,E,G,E,R,I,A,A,A,H,E,G,I,F,BI,CO,A,AS,N,O,N,HX,0.6624800000000001,0.7370680000000001,0.201309,0.5038199999999999,0.281143,0.677761,0.492874,0.32316999999999996,0.68419,0.72223,0.441763,0.432101,0.689974,0.729392
75,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,A,B,B,B,A,A,A,G,H,D,D,D,E,A,A,P,F,A,A,C,H,E,F,E,D,BI,CL,A,AJ,I,A,J,HX,0.715803,0.299102,0.230975,0.6237699999999999,0.281143,0.522095,0.694731,0.4293,0.53774,0.61459,0.47272600000000004,0.462286,0.324464,0.583785
77,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,B,D,A,A,D,B,D,B,D,A,A,A,A,C,B,C,E,C,D,T,I,A,A,A,H,E,G,I,K,BI,EB,E,AU,Y,C,Q,GE,0.705066,0.245921,0.215772,0.5038199999999999,0.281143,0.6710470000000001,0.478451,0.79674,0.7628,0.45566999999999996,0.480509,0.48130600000000007,0.723122,0.202501
81,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,G,H,D,D,A,E,C,A,F,F,A,A,C,G,I,F,F,H,BI,CO,A,E,X,A,I,HV,0.459904,0.827585,0.777587,0.9524819999999999,0.281143,0.46425,0.5738840000000001,0.50658,0.39849,0.57172,0.81013,0.798279,0.27955599999999997,0.652859
83,A,B,A,B,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,B,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,C,A,P,H,G,A,A,G,F,H,F,B,BI,EG,C,N,BC,A,J,HJ,0.43410600000000005,0.199504,0.187583,0.815505,0.49111400000000005,0.334009,0.302292,0.3128,0.39648,0.38016,0.34181300000000003,0.35225100000000004,0.26115,0.599018
87,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,I,A,A,C,D,E,J,G,B,BI,EG,A,E,BM,A,L,CK,0.347403,0.785784,0.61366,0.47320200000000007,0.939556,0.24243699999999999,0.28994899999999996,0.24564,0.30859000000000003,0.32935,0.22303800000000001,0.22000300000000003,0.33329200000000003,0.8180109999999999
97,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,A,D,B,B,D,C,B,B,B,A,A,A,A,A,D,E,D,E,E,A,P,G,A,A,A,D,G,I,F,B,K,EL,G,E,BM,A,K,DA,0.37550100000000003,0.016651,0.9442510000000001,0.318422,0.356315,0.236017,0.27108899999999997,0.36083000000000004,0.30859000000000003,0.23948000000000003,0.180456,0.443374,0.23625300000000002,0.8112689999999999
103,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,H,D,D,C,E,C,D,T,F,D,A,A,G,G,H,J,K,BI,EL,A,T,AK,A,N,HL,0.40028,0.785784,0.728827,0.22961700000000002,0.31006100000000003,0.510054,0.46566,0.2926,0.38249,0.58796,0.7307520000000001,0.717648,0.6426,0.195278
119,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,D,B,A,A,A,G,H,D,B,C,E,A,D,T,F,A,A,A,K,G,F,J,K,BI,BC,A,E,S,E,P,MD,0.640095,0.48878900000000003,0.356819,0.8388399999999999,0.725503,0.825463,0.6357149999999999,0.66201,0.64681,0.6803899999999999,0.888438,0.879347,0.802184,0.8143279999999999
120,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,C,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,I,A,A,A,K,H,F,J,K,BI,CQ,G,AH,AJ,A,N,MD,0.484469,0.785784,0.397983,0.38342800000000005,0.517162,0.7550479999999999,0.659806,0.34986999999999996,0.55855,0.69471,0.9096110000000001,0.9016120000000001,0.666708,0.234711
127,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,C,B,A,A,A,A,A,D,D,E,E,G,E,R,K,A,A,A,G,F,G,H,F,BI,CS,A,J,AE,C,M,HK,0.667647,0.785784,0.5713600000000001,0.327354,0.718531,0.678275,0.55642,0.33906,0.62542,0.81255,0.636828,0.623714,0.6755359999999999,0.38166
138,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,B,D,B,B,C,B,D,B,D,A,A,B,H,D,B,C,B,G,C,T,F,D,A,A,O,D,E,H,G,BI,EL,K,AK,Y,A,R,KB,0.960283,0.245921,0.041832999999999995,0.54456,0.49111400000000005,0.9374,0.608811,0.47668999999999995,0.97621,0.8351,0.511698,0.576121,0.9198270000000001,0.475459
141,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,A,B,C,B,D,B,D,A,A,A,A,C,B,C,E,G,C,T,H,A,A,B,L,G,E,I,G,BI,CS,A,N,L,F,P,JR,0.8767280000000001,0.681761,0.356819,0.284048,0.281143,0.8983899999999999,0.600908,0.9676899999999999,0.8538,0.83814,0.8414780000000001,0.909444,0.856518,0.5994149999999999
148,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,N,A,A,B,D,E,J,H,B,BI,EG,A,E,BM,A,L,CK,0.330514,0.681761,0.61366,0.47320200000000007,0.9110729999999999,0.240069,0.279895,0.24564,0.30859000000000003,0.32445999999999997,0.22303800000000001,0.22000300000000003,0.33329200000000003,0.8061010000000001
150,B,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,C,B,D,B,A,A,A,B,H,D,D,C,E,C,D,T,F,F,A,A,G,F,F,J,E,BI,BT,A,AS,A,A,N,HK,0.468558,0.48878900000000003,0.592681,0.22961700000000002,0.45648299999999997,0.711657,0.755984,0.30768,0.38249,0.7266699999999999,0.654669,0.641454,0.684242,0.714791
151,A,B,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,D,G,C,A,P,H,G,A,A,E,E,F,F,B,BI,BT,A,AF,X,A,J,EP,0.49606300000000003,0.7370680000000001,0.6738609999999999,0.753703,0.281143,0.505057,0.542126,0.72775,0.40455,0.47778999999999994,0.418822,0.40977700000000006,0.310026,0.22116599999999997
158,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,L,D,A,A,E,E,H,F,B,BI,EB,A,D,X,A,J,DF,0.49026499999999995,0.620805,0.54977,0.8692989999999999,0.560299,0.351223,0.33571999999999996,0.68308,0.40455,0.47778999999999994,0.307628,0.301921,0.318646,0.6904060000000001
160,A,B,A,A,B,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,B,A,C,B,D,D,A,A,A,A,A,D,D,C,E,E,D,T,A,L,A,B,E,F,I,J,K,BI,CS,A,J,AE,A,N,DJ,0.325401,0.827585,0.692825,0.373816,0.718531,0.385129,0.422196,0.32843,0.32128,0.44466999999999995,0.396226,0.387819,0.559714,0.38664699999999996
165,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,D,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,A,A,A,A,E,F,H,F,B,BI,BT,C,D,AX,N,K,DP,0.484469,0.681761,0.54977,0.452887,0.49979799999999996,0.350688,0.363197,0.58354,0.44351999999999997,0.39599,0.34181300000000003,0.35225100000000004,0.339244,0.765191
168,A,B,B,A,A,A,A,A,B,B,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,B,D,B,B,C,B,C,B,A,A,B,A,A,D,B,E,E,G,E,R,L,O,A,A,G,E,G,I,F,BI,BT,A,AN,AE,A,N,HK,0.645422,0.199504,0.336963,0.327354,0.42226800000000003,0.6510239999999999,0.45218100000000006,0.33906,0.62542,0.69471,0.4922,0.48130600000000007,0.678452,0.283515
169,A,B,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,B,B,B,C,B,D,B,A,A,A,B,H,D,D,C,D,A,C,T,F,C,C,C,K,F,F,G,G,BI,CS,A,AS,L,A,O,LN,0.906291,0.7370680000000001,0.336963,0.761209,0.37240500000000004,0.8497399999999999,0.599487,0.9797299999999999,0.9338299999999999,0.8351,0.832976,0.832658,0.810511,0.709158
177,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,B,B,B,C,B,D,B,A,A,A,A,A,D,C,C,E,C,D,T,I,A,A,D,H,F,G,J,K,BI,CQ,A,E,BM,A,O,IE,0.47578400000000004,0.48878900000000003,0.317666,0.309621,0.8502059999999999,0.599275,0.547144,0.48863999999999996,0.45391000000000004,0.64056,0.592525,0.5798449999999999,0.701266,0.8020189999999999
178,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,D,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,H,A,A,B,D,D,K,I,B,AB,CO,E,J,AX,A,N,CK,0.29562,0.555782,0.506105,0.422727,0.525831,0.23942600000000003,0.233212,0.6984,0.30859000000000003,0.2123,0.19717300000000001,0.194925,0.41743,0.38577
184,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,C,A,P,K,A,A,A,E,E,I,G,B,BI,BS,A,AS,BM,F,L,DJ,0.47578400000000004,0.48878900000000003,0.44064200000000003,0.534409,0.78323,0.331919,0.345585,0.36083000000000004,0.39849,0.39599,0.26014,0.292356,0.36354699999999995,0.716394
